x,Curve1
7137.11,6.42056
7547.23,6.69111
7966.04,7.03742
8357.42,7.37905
8753.32,7.72961
9171.82,8.12489
9549.12,8.52426
9858.42,8.82068
10254.3,9.1757
10745.8,9.6072
11164.8,9.9179
11429,10.1026
11647.8,10.2469
11875.8,10.3691
12085.6,10.4777
12322.9,10.5776
12555.8,10.6597
12843.6,10.7245
13113.4,10.749
13328.5,10.7464
13571.2,10.7173
13836.8,10.6794
14097.7,10.6594
14417.9,10.6799
14719.5,10.7448
15185.3,10.8956
15774,11.1454
16449.2,11.4672
17156.1,11.8427
17899.4,12.2451
18460.3,12.5526
18989.2,12.8508
19654.9,13.2215
20416.6,13.6241
21100.7,13.9771
21949.1,14.4027
