x,Curve1
16050.9,11.3316
16550.7,11.6197
17184.6,11.9507
18022.3,12.4287
18986.9,12.9633
19874,13.4488
20965.8,13.9985
22071.7,14.5484
22910.5,14.9091
23826.8,15.2984
24454.4,15.5258
25131.5,15.7607
25745.4,15.9329
26133.8,16.0198
26578.6,16.1143
26995.4,16.1809
27440.7,16.2271
27949.8,16.2464
28558.2,16.246
29067.9,16.1964
29556.8,16.1051
30152.1,15.9667
30705.6,15.7658
31372.8,15.504
32054,15.2493
32699.5,15.0356
33202.8,14.91
33642,14.8389
34144.7,14.7891
34661.1,14.7809
35382.7,14.7749
36379.9,14.7995
37567.9,14.8468
38352.7,14.8898
39462.8,14.9501
40572.6,15.0448
41915.8,15.1421
